URL,Target,Attack Time
https://terseo.tk/,Generic/Spear Phishing,02/04/2023 20:48:31
https://coinflip.cc/Org/eddsmoke,Bank of America,02/04/2023 20:45:31
https://shoppingdatv.shop/login/index.php,Lojas Renner,02/04/2023 20:45:17
https://www--wellsfargo--com--x849329d48d6c.wsipv6.com/es/biz/,Wells Fargo & Company,02/04/2023 20:44:42
https://axi7teajnjudg52z.000webhostapp.com/customer-services-pages.html,"Facebook, Inc.",02/04/2023 20:44:19
https://stecmcommunity.ru/profile/morriartimarsola,Steam,02/04/2023 20:44:05
https://groupe.redirectionplus.fr/wp-content/plugins/agricolenouvelleAPP-Nous2022/Client/dep.html,Credit Agricole S.A.,02/04/2023 20:40:35
https://quoter4439000.web.app/,Microsoft OneDrive,02/04/2023 20:38:20
https://syncdapps.netlify.app/,Crypto/Wallet,02/04/2023 20:56:04
http://dev-bancoiombia.pantheonsite.io/,Generic/Spear Phishing,02/04/2023 20:54:37
https://www.daisyfawcettceramics.com/wpp,Discover,02/04/2023 20:51:12
https://coinflip.cc/Org/eddsmoke,Bank of America,02/04/2023 20:45:31
https://shoppingdatv.shop/login/index.php,Lojas Renner,02/04/2023 20:45:17
https://www--wellsfargo--com--x849329d48d6c.wsipv6.com/es/biz/,Wells Fargo & Company,02/04/2023 20:44:42
https://axi7teajnjudg52z.000webhostapp.com/customer-services-pages.html,"Facebook, Inc.",02/04/2023 20:44:19
https://stecmcommunity.ru/profile/morriartimarsola,Steam,02/04/2023 20:44:05
https://warechair.com.au/oldv/BOA,Bank of America,02/05/2023 21:00:38
http://u1928628.plsk.regruhosting.ru/aiMShSIErf/index.php,Tencent,02/05/2023 20:59:53
https://bancaapp.ytruy.repl.co/,Generic/Spear Phishing,02/05/2023 20:59:36
https://camelistas.online/verifyFCU,Alaska USA Federal Credit Union,02/05/2023 20:59:32
http://fibercom-laboratory.com/,Orange,02/05/2023 20:59:25
https://petersenhealthcare-secure-doc-auth.tk/adobe/document/security/,Adobe Inc.,02/05/2023 20:57:22
https://syncdapps.netlify.app/,Crypto/Wallet,02/05/2023 20:56:04
https://www.daisyfawcettceramics.com/wpp,Discover,02/05/2023 20:51:12
https://shoppingdatv.shop/login/index.php,Lojas Renner,02/05/2023 20:45:17
https://www--wellsfargo--com--x849329d48d6c.wsipv6.com/es/biz/,Wells Fargo & Company,02/05/2023 20:44:42
https://axi7teajnjudg52z.000webhostapp.com/customer-services-pages.html,"Facebook, Inc.",02/05/2023 20:44:19
https://stecmcommunity.ru/profile/morriartimarsola,Steam,02/05/2023 20:44:05
https://groupe.redirectionplus.fr/wp-content/plugins/agricolenouvelleAPP-Nous2022/Client/dep.html,Credit Agricole S.A.,02/05/2023 20:40:35
https://quoter4439000.web.app/,Microsoft OneDrive,02/05/2023 20:38:20
http://microsoft-azureaccount-usa-brlive-br.clicketcloud.com/,Outlook,02/05/2023 20:34:04
https://3.92.68.153/,Office365,02/05/2023 20:31:25
http://fphousecss.azurewebsites.net/dkb/login.html,Deutsche Kreditbank,02/05/2023 20:28:06
http://www.blackgeeksofdragoncon.com/wp-content/uploads/2022/10/starten/confirm.php,"DHL Airways, Inc.",02/05/2023 20:25:07
https://dscolb.wixsite.com/my-site,AT&T Inc.,02/05/2023 20:16:32
https://bafybeicajmtqkctst3mapciohgf6whcxrxpwwf6ef2fjvdiqppwo44e7rm.ipfs.w3s.link/indexsolo.html,Webmail Providers,02/05/2023 20:13:22
https://treqw.weebly.com/,Yahoo! Inc,02/05/2023 20:12:05
https://internal-mail.net/route.php?k=8504a2c2ed0c01a8bd288ab679eab4bda14a255e,LinkedIn Corporation,02/05/2023 19:46:50
http://www.vip333366.com/,Bet365,02/05/2023 19:45:52
https://abogadocruzsanchez.com/at0/MyGov/,Australian Government,02/05/2023 19:45:24
https://dev-sistemaenlineaitau-py.pantheonsite.io/,Itau Unibanco S.A,02/05/2023 19:44:09
https://amazon-b8.shop/,Amazon.com Inc.,02/05/2023 19:43:54
https://pay.onesupershop.com/ze98g8645zeg/JDGm8/ID_a5fedE23CFBA4/?1B4D6A3058AF21BA73D3,United States Postal Service,02/05/2023 19:39:07
http://u1928903.cp.regruhosting.ru/,Bancolombia,02/05/2023 19:29:29
https://payee-attach-attempt.com/Login.php,Grupo Santander,02/05/2023 19:24:33
http://www.supportwhatsapp.com/,WhatsApp,02/05/2023 19:19:12
